result,metric
0.2818912611966635,$RMSE$
0.19967113701149256,$RMSE/\sigma$
0.17994124053683813,$MAE$
0.9601314370445377,$R^{2}$
0.36981587621992584,$RMSE$
0.28682830036146123,$RMSE/\sigma$
0.212391188386397,$MAE$
0.9177295261117554,$R^{2}$
0.3493645427848011,$RMSE$
0.25838269897870836,$RMSE/\sigma$
0.23135559068029424,$MAE$
0.9332383808684782,$R^{2}$
0.3785733711434433,$RMSE$
0.2815844303796244,$RMSE/\sigma$
0.23030922781338253,$MAE$
0.9207102085677825,$R^{2}$
0.2601807611645066,$RMSE$
0.1983404559368601,$RMSE/\sigma$
0.17225739658522055,$MAE$
0.9606610635387585,$R^{2}$
0.2970579072868828,$RMSE$
0.21245954420357724,$RMSE/\sigma$
0.19942901130161741,$MAE$
0.9548609420768082,$R^{2}$
